outgoing,outgoing_slot,position,outgoing_md1_points,outgoing_md2_price_m,cash_before_m,max_replacement_price_m,candidate,candidate_md1_points,candidate_md1_price_m,candidate_md2_price_m,candidate_movement_m,candidate_points_per_md2_m,cash_after_m,points_gain_vs_outgoing
Jan Gyamerah,starter,DEF,102,1.99,3.82,5.81,Jonah Sticker,39,3.92,3.91,-0.01,9.97,1.90,-63
Jan Gyamerah,starter,DEF,102,1.99,3.82,5.81,Benjamin Henrichs,25,4.27,4.25,-0.02,5.88,1.56,-77
Jan Gyamerah,starter,DEF,102,1.99,3.82,5.81,Max Rosenfelder,22,3.04,3.02,-0.02,7.28,2.79,-80
Jan Gyamerah,starter,DEF,102,1.99,3.82,5.81,Joël Schmied,7,3.95,3.95,+0.00,1.77,1.86,-95
Jan Gyamerah,starter,DEF,102,1.99,3.82,5.81,Timo Hübers,0,,5.28,,0.00,0.53,-102
Jan Gyamerah,starter,DEF,102,1.99,3.82,5.81,Koki Machida,0,,3.49,,0.00,2.32,-102
Jan Gyamerah,starter,DEF,102,1.99,3.82,5.81,Nicholas Mickelson,,,2.89,,,2.92,
Jan Gyamerah,starter,DEF,102,1.99,3.82,5.81,Leonidas Stergiou,,,3.01,,,2.80,
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Marius Wolf,262,5.18,5.45,+0.27,48.07,1.65,173
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Laurin Curda,233,5.84,6.23,+0.39,37.40,0.87,144
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Josip Juranović,202,6.00,6.37,+0.37,31.71,0.73,113
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Jano ter Horst,174,4.64,4.92,+0.28,35.37,2.18,85
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Gideon Mensah,132,6.14,6.26,+0.12,21.09,0.84,43
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Josha Vagnoman,97,6.11,6.12,+0.01,15.85,0.98,8
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Felix Keidel,81,4.09,4.12,+0.03,19.66,2.98,-8
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Tom Rothe,80,5.73,5.72,-0.01,13.99,1.38,-9
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Mick Schmetgens,66,2.35,2.38,+0.03,27.73,4.72,-23
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Youngwoo Seol,64,5.26,5.26,+0.00,12.17,1.84,-25
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Lukas Ullrich,62,3.92,3.92,+0.00,15.82,3.18,-27
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Robin Hranáč,59,6.82,6.80,-0.02,8.68,0.30,-30
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Maximilian Rohr,58,5.61,5.56,-0.05,10.43,1.54,-31
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Louis Lemke,57,2.50,2.51,+0.01,22.71,4.59,-32
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Vitalie Becker,55,3.57,3.56,-0.01,15.45,3.54,-34
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Jonah Sticker,39,3.92,3.91,-0.01,9.97,3.19,-50
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Benjamin Henrichs,25,4.27,4.25,-0.02,5.88,2.85,-64
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Max Rosenfelder,22,3.04,3.02,-0.02,7.28,4.08,-67
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Joël Schmied,7,3.95,3.95,+0.00,1.77,3.15,-82
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Jordan Torunarigha,7,6.88,6.78,-0.10,1.03,0.32,-82
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Timo Hübers,0,,5.28,,0.00,1.82,-89
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Koki Machida,0,,3.49,,0.00,3.61,-89
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Nicholas Mickelson,,,2.89,,,4.21,
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Jeffrey Gouweleeuw,,,6.02,,,1.08,
Keita Kosugi,bench,DEF,89,3.28,3.82,7.10,Leonidas Stergiou,,,3.01,,,4.09,
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Maarten Vandevoordt,259,9.63,10.03,+0.40,25.82,0.52,241
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Finn Dahmen,239,9.46,9.62,+0.16,24.84,0.93,221
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Marvin Schwäbe,223,8.65,8.80,+0.15,25.34,1.75,205
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Noah Atubolu,182,9.99,10.07,+0.08,18.07,0.48,164
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Manuel Neuer,137,10.26,10.28,+0.02,13.33,0.27,119
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Mark Flekken,82,10.41,10.35,-0.06,7.92,0.20,64
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Karl Hein,54,8.92,8.82,-0.10,6.12,1.73,36
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Stefan Smarkalev,0,,5.36,,0.00,5.19,-18
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Elias Etringer,0,,5.49,,0.00,5.06,-18
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Sven Ulreich,0,,7.11,,0.00,3.44,-18
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Fernando Dickes,0,,5.17,,0.00,5.38,-18
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Frederik Rønnow,0,,9.53,,0.00,1.02,-18
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Frank Lehmann,0,,5.33,,0.00,5.22,-18
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Ørjan Nyland,0,,5.07,,0.00,5.48,-18
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Markus Kolke,0,,5.36,,0.00,5.19,-18
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Stefan Drljača,0,,3.94,,0.00,6.61,-18
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Matthias Köbbing,0,,5.25,,0.00,5.30,-18
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Nediljko Labrović,,,9.64,,,0.91,
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Oliver Baumann,,,9.20,,,1.35,
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Carl Klaus,,,6.88,,,3.67,
Matheo Raab,bench,GK,18,6.73,3.82,10.55,Tim Boss,,,5.40,,,5.15,
Michael Olise,starter,MID,325,37.57,3.82,41.39,Lukas Petkov,316,6.27,7.01,+0.74,45.08,34.38,-9
Michael Olise,starter,MID,325,37.57,3.82,41.39,Aleksandar Pavlović,284,14.65,14.90,+0.25,19.06,26.49,-41
Michael Olise,starter,MID,325,37.57,3.82,41.39,Konstantinos Karetsas,273,15.70,15.90,+0.20,17.17,25.49,-52
Michael Olise,starter,MID,325,37.57,3.82,41.39,Joshua Kimmich,252,23.56,23.64,+0.08,10.66,17.75,-73
Michael Olise,starter,MID,325,37.57,3.82,41.39,Bambasé Conté,230,5.50,5.95,+0.45,38.66,35.44,-95
